type	latitude	longitude	altitude (m)	color	opacity	width	name	desc
T	-34.632936926	-60.468047446	72.0	#ff0000	1.00	2	Chacabuco-Salto	
T	-34.628370878	-60.465070113	72.9					
T	-34.624908413	-60.459851137	73.9					
T	-34.620285289	-60.458018546	71.1					
T	-34.615620246	-60.453780567	69.1					
T	-34.613273017	-60.451051579	71.9					
T	-34.608559212	-60.446768225	72.2					
T	-34.604998352	-60.442632203	73.2					
T	-34.600231885	-60.439504164	71.4					
T	-34.595432522	-60.436354810	70.7					
T	-34.590599721	-60.433183762	72.5					
T	-34.584513616	-60.429801042	69.7					
T	-34.580824250	-60.425548517	72.3					
T	-34.575886940	-60.422306319	71.4					
T	-34.570908286	-60.417805985	69.5					
T	-34.565900097	-60.414513898	71.0					
T	-34.562110868	-60.410164849	71.5					
T	-34.557045843	-60.408073008	71.2					
T	-34.553221574	-60.406181715	70.7					
T	-34.546792775	-60.401331821	70.6					
T	-34.540310986	-60.397700221	70.3					
T	-34.535072925	-60.394261895	69.0					
T	-34.529789419	-60.389527521	68.6					
T	-34.525809839	-60.387547621	70.0					
T	-34.519118583	-60.382516405	70.9					
T	-34.511010728	-60.377190659	69.4					
T	-34.504188030	-60.373354454	68.0					
T	-34.497301194	-60.369482871	66.7					
T	-34.490348403	-60.365575021	66.3					
T	-34.479095621	-60.360825034	68.9					
T	-34.471971014	-60.356829814	68.4					
T	-34.467658746	-60.353355080	67.0					
T	-34.461890643	-60.352238443	65.9					
T	-34.454602490	-60.348157973	70.1					
T	-34.450159259	-60.343269044	67.3					
T	-34.444233189	-60.340749431	70.0					
T	-34.438243317	-60.335508616	67.2					
T	-34.433721972	-60.331890085	67.7					
T	-34.424607212	-60.325952511	68.7					
T	-34.416932717	-60.321636126	66.0					
T	-34.409181441	-60.317277376	65.7					
T	-34.399780540	-60.312543902	66.6					
T	-34.388661888	-60.306020895	67.0					
T	-34.380624244	-60.301505904	61.0					
T	-34.374121090	-60.295891973	63.8					
T	-34.367584073	-60.293057508	59.9					
T	-34.360986141	-60.290196941	54.2					
T	-34.354319392	-60.285887514	50.3					
T	-34.347621723	-60.284404163	48.5					
T	-34.335753219	-60.280338073	48.5					
T	-34.327151992	-60.275535455	50.1					
T	-34.320200071	-60.271075609	48.2					
T	-34.311459519	-60.269103743	44.1					
T	-34.304373317	-60.264574862	41.0					
T	-34.297212397	-60.258533286	49.3					
T	-34.290016640	-60.255402075	50.0					
T	-34.282744690	-60.250757202	45.7					
T	-34.279070895	-60.246929606	41.7					
