type	latitude	longitude	altitude (m)	color	opacity	width	name	desc
T	-34.166587528	-58.957968335	9.9	#0000ff	1.00	2	Lujan-Campana	
T	-34.172494614	-58.960030407	23.0					
T	-34.178109389	-58.962977297	22.7					
T	-34.183885164	-58.964988622	16.7					
T	-34.192460188	-58.967974939	16.2					
T	-34.200803360	-58.970882077	19.6					
T	-34.207652081	-58.973268894	18.8					
T	-34.217097406	-58.976561223	14.5					
T	-34.222419653	-58.978416652	17.0					
T	-34.227685039	-58.980252518	14.3					
T	-34.231597291	-58.981616738	14.0					
T	-34.239332509	-58.984314379	13.6					
T	-34.246947106	-58.986970443	13.5					
T	-34.253201645	-58.989152493	17.8					
T	-34.259375244	-58.991306625	18.4					
T	-34.265435198	-58.993421869	15.8					
T	-34.270222914	-58.995093283	20.8					
T	-34.274962429	-58.996748062	22.0					
T	-34.282008694	-58.999208232	20.8					
T	-34.287810647	-59.001234192	22.0					
T	-34.295812259	-59.004028721	32.5					
T	-34.300322410	-59.005604117	22.7					
T	-34.304788188	-59.007164194	28.0					
T	-34.311404991	-59.009476015	23.9					
T	-34.315757196	-59.010996926	22.8					
T	-34.318992067	-59.012127499	36.5					
T	-34.326446617	-59.014733153	26.1					
T	-34.332929232	-59.016159519	24.8					
T	-34.338101540	-59.017972945	29.8					
T	-34.343211894	-59.019764879	24.4					
T	-34.348262104	-59.021535988	28.0					
T	-34.352260075	-59.022938220	28.8					
T	-34.359167908	-59.025361353	31.6					
T	-34.362094440	-59.026388063	32.1					
T	-34.367877593	-59.028417272	30.4					
T	-34.373571076	-59.030415467	29.6					
T	-34.379188288	-59.032387179	30.9					
T	-34.381968764	-59.033363268	31.7					
T	-34.387474388	-59.035296210	26.4					
T	-34.389293407	-59.035934885	26.0					
T	-34.394713315	-59.037837953	29.5					
T	-34.400953234	-59.040029140	30.1					
T	-34.404476194	-59.041266397	29.7					
T	-34.407098342	-59.042187364	35.6					
T	-34.413993201	-59.044609567	40.0					
T	-34.416546056	-59.045506528	40.5					
T	-34.421603092	-59.047283510	37.2					
T	-34.426596237	-59.049038255	34.5					
T	-34.431526721	-59.050771195	28.9					
T	-34.433156476	-59.051344069	30.3					
T	-34.438005182	-59.053048558	30.5					
T	-34.441204281	-59.054173264	35.1					
T	-34.445166152	-59.055566242	30.5					
T	-34.448307337	-59.056670766	25.0					
T	-34.452640318	-59.059647425	24.8					
T	-34.457253270	-59.061260983	23.0					
T	-34.459355901	-59.062716500	19.8					
T	-34.463889969	-59.064298364	26.3					
T	-34.467476152	-59.066261040	25.5					
T	-34.471927551	-59.067809831	30.6					
T	-34.475432947	-59.069733415	32.7					
T	-34.479770863	-59.071239301	28.6					
T	-34.483898440	-59.073367741	34.7					
T	-34.487432719	-59.074591572	38.9					
T	-34.489536408	-59.075320078	26.1					
T	-34.493707295	-59.076764591	4.0					
T	-34.497828091	-59.078191937	6.5					
T	-34.501892267	-59.079600093	8.3					
T	-34.505892108	-59.080986553	16.1					
T	-34.508030877	-59.081055256	10.4					
T	-34.511310940	-59.082195469	19.9					
T	-34.514560820	-59.083325288	21.1					
T	-34.517780964	-59.084444847	17.5					
T	-34.520984440	-59.085558361	18.6					
T	-34.523531949	-59.086443802	14.3					
T	-34.527318235	-59.087759879	12.9					
T	-34.532151883	-59.090090153	15.6					
T	-34.535230981	-59.091157728	17.2					
T	-34.538282321	-59.092215767	17.9					
T	-34.542360632	-59.094269997	20.1					
T	-34.544753182	-59.095097448	22.8					
T	-34.547572936	-59.096707508	24.0					
T	-34.550514648	-59.097722222	26.5					
T	-34.553287245	-59.099307706	30.3					
T	-34.557330338	-59.100698607	30.8					
T	-34.560756470	-59.101877396	24.3					
T	-34.563584409	-59.102850397	23.6					
T	-34.565686739	-59.104190883	24.8					
T	-34.568883997	-59.105901859	27.2					
T	-34.571090923	-59.106657191	25.6					
